object_name;object_level;object_oktmo;object_okato
Алтайский край;Регион;01000000;01000000
Амурская область;Регион;10000000;10000000
Архангельская область (без автономного округа);Регион;11000000;11000000
Архангельская область (с автономным округом);Регион;11000000;11000000
Архангельская область (с автономным округом);Регион;11700000;11200000
Астраханская область;Регион;12000000;12000000
Белгородская область;Регион;14000000;14000000
Брянская область;Регион;15000000;15000000
Владимирская область;Регион;17000000;17000000
Волгоградская область;Регион;18000000;18000000
Вологодская область;Регион;19000000;19000000
Воронежская область;Регион;20000000;20000000
Еврейская автономная область;Регион;99000000;99000000
Забайкальский край;Регион;76000000;76000000
Ивановская область;Регион;24000000;24000000
Иркутская область;Регион;25000000;25000000
Кабардино-Балкарская Республика;Регион;83000000;83000000
Калининградская область;Регион;27000000;27000000
Калужская область;Регион;29000000;29000000
Камчатский край;Регион;30000000;30000000
Карачаево-Черкесская Республика;Регион;91000000;91000000
Кемеровская область;Регион;32000000;32000000
Кировская область;Регион;33000000;33000000
Костромская область;Регион;34000000;34000000
Краснодарский край;Регион;03000000;03000000
Красноярский край;Регион;04000000;04000000
Курганская область;Регион;37000000;37000000
Курская область;Регион;38000000;38000000
Ленинградская область;Регион;41000000;41000000
Липецкая область;Регион;42000000;42000000
Магаданская область;Регион;44000000;44000000
Москва;Регион;45000000;45000000
Московская область;Регион;46000000;46000000
Мурманская область;Регион;47000000;47000000
Ненецкий автономный округ;Регион;11800000;11100000
Нижегородская область;Регион;22000000;22000000
Новгородская область;Регион;49000000;49000000
Новосибирская область;Регион;50000000;50000000
Омская область;Регион;52000000;52000000
Оренбургская область;Регион;53000000;53000000
Орловская область;Регион;54000000;54000000
Пензенская область;Регион;56000000;56000000
Пермский край;Регион;57000000;57000000
Приморский край;Регион;05000000;05000000
Псковская область;Регион;58000000;58000000
Республика Адыгея;Регион;79000000;79000000
Республика Алтай;Регион;84000000;84000000
Республика Башкортостан;Регион;80000000;80000000
Республика Бурятия;Регион;81000000;81000000
Республика Дагестан;Регион;82000000;82000000
Республика Ингушетия;Регион;26000000;26000000
Республика Калмыкия;Регион;85000000;85000000
Республика Карелия;Регион;86000000;86000000
Республика Коми;Регион;87000000;87000000
Республика Крым;Регион;35000000;35000000
Республика Марий Эл;Регион;88000000;88000000
Республика Мордовия;Регион;89000000;89000000
Республика Саха (Якутия);Регион;98000000;98000000
Республика Северная Осетия — Алания;Регион;90000000;90000000
Республика Татарстан;Регион;92000000;92000000
Республика Тыва;Регион;93000000;93000000
Республика Хакасия;Регион;95000000;95000000
Ростовская область;Регион;60000000;60000000
Рязанская область;Регион;61000000;61000000
Самарская область;Регион;36000000;36000000
Санкт-Петербург;Регион;40000000;40000000
Саратовская область;Регион;63000000;63000000
Сахалинская область;Регион;64000000;64000000
Свердловская область;Регион;65000000;65000000
Севастополь;Регион;67000000;67000000
Смоленская область;Регион;66000000;66000000
Ставропольский край;Регион;07000000;07000000
Тамбовская область;Регион;68000000;68000000
Тверская область;Регион;28000000;28000000
Томская область;Регион;69000000;69000000
Тульская область;Регион;70000000;70000000
Тюменская область (без автономных округов);Регион;71000000;71000000
Тюменская область (с автономными округами);Регион;71000000;71000000
Тюменская область (с автономными округами);Регион;71600000;71200000
Удмуртская Республика;Регион;94000000;94000000
Ульяновская область;Регион;73000000;73000000
Хабаровский край;Регион;08000000;08000000
Ханты-Мансийский автономный округ — Югра;Регион;71800000;71100000
Челябинская область;Регион;75000000;75000000
Чеченская Республика;Регион;96000000;96000000
Чувашская Республика;Регион;97000000;97000000
Чукотский автономный округ;Регион;77000000;77000000
Ямало-Ненецкий автономный округ;Регион;71900000;71140000
Ярославская область;Регион;78000000;78000000
Российская Федерация;Страна;00000000;00000000
Дальневосточный федеральный округ;Федеральный округ;00000000;00000000
Приволжский федеральный округ;Федеральный округ;00000000;00000000
Северо-Западный федеральный округ;Федеральный округ;00000000;00000000
Северо-Кавказский федеральный округ;Федеральный округ;00000000;00000000
Сибирский федеральный округ;Федеральный округ;00000000;00000000
Уральский федеральный округ;Федеральный округ;00000000;00000000
Центральный федеральный округ;Федеральный округ;00000000;00000000
Южный федеральный округ;Федеральный округ;00000000;00000000
